sr,tender_number,title,description,ppra_category,reference,organization,location,status,advertised_date,closing_date,closing_time,detail_url,category,closing_dt,scraped_at
1232,TS0000011166E,"HIRING OF CONSULTANCY SERVICES FOR DESIGNING ALONG WITH MODIFICATION OF EXISTING FURNITURE LAYOUT/DESIGN OF SUI NORTHERN GAS PIPELINES LIMITED (SNGPL) CONSISTING OF HEAD OFFICE, REGIONAL OFFICES, SUB-REGIONAL OFFICES, TRANSMISSION OFFICES, CUSTOMER SERVICES CENTERS & COMPLAINT CENTERS ETC.",,Services,CC/Mod/Furnt/SNGPL/CSC/26/001,Sui Northern Gas Pipelines Limited (SNGPL),Lahore - Pakistan,Published,"Aug 10, 2026","Aug 26, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011166E,Energy/Utilities,2026-08-26,2026-08-30T06:06:58.732314
1233,TS0000011167E,Tender for Prequalification (Open Frame Work Agreement) of Automobile Workshops and General Order Supplier for Repair of Transport,,Repair/Maintenance,01/MT/LHQ/N-5(North-I)/2026-27/,Ministry of Communications,Khairabad - Pakistan,Published,"Aug 10, 2026","Aug 26, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011167E,Services,2026-08-26,2026-08-30T06:06:58.732314
1234,TS0000011226E,Stringing Material,,Equipments,FCS/MDR/TE/026/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 10, 2026","Aug 26, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011226E,Goods/Supplies,2026-08-26,2026-08-30T06:06:58.732314
1235,TS0000011228E,Canvas Turpal (Tarpaulin),,Equipments,FCS/SOA/TE/057/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 10, 2026","Aug 26, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011228E,Goods/Supplies,2026-08-26,2026-08-30T06:06:58.732314
1236,TS0000011093E,Tennder for Purchase of Stationary General Items Security Items Feed for Live Stocks Uniform & Protection Items,Tennder for Purchase of Stationary General Items Security Items Feed for Live Stocks Uniform & Protection Items Tennder for Purchase of Stationary General Items...,Miscellaneous,P82999,Ministry of Interior and Narcotics Control,Rawalpindi - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011093E,Services,2026-08-25,2026-08-30T06:06:58.732314
1237,TS0000011155E,PAF Weekly Combine Tender Notice,PAF Weekly Combine Tender Notice,Miscellaneous,260802,Ministry of Defence,islamabad - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",10:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011155E,Defence/Military,2026-08-25,2026-08-30T06:06:58.732314
1238,TS0000011159E,Notice of tender,,Miscellaneous,4052/Ckl-Advt/02/E-4,Ministry of Defence,Rawalpindi - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011159E,Other,2026-08-25,2026-08-30T06:06:58.732314
1239,TS0000011163E,Military Engineer Service (Army),works 1. TC Works of Cherat & Jallozai Camp at AOR...,Civil Works,6000/PPRA/89/E6,Ministry of Defence,Haripur - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:50 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011163E,Construction/Works,2026-08-25,2026-08-30T06:06:58.732314
1240,TS0000011173E,REQIEST FOR PROPOSAL (RFP),PROCUREMENT OF ENGINEERING CONSULTANCY SERVICES WORKERS WELFARE FUND INTEND TO CONSTRUCT OF...,Civil Works,78793,Ministry of Overseas Pakistanis & Human Resource Development,Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011173E,Construction/Works,2026-08-25,2026-08-30T06:06:58.732314
1241,TS0000011175E,Procurement of Imported LPG 900 MT for the Month of August 2026 (25th – 30th August 2026),Procurement of Imported LPG 900 MT for the Month of August 2026 (25th – 30th August 2026) Procurement of Imported LPG 900 MT for the Month...,"Petroleum, Oil & Lubricants",GF-19855-JA,Pakistan State Oil (PSO),Karachi - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",02:15 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011175E,Energy/Utilities,2026-08-25,2026-08-30T06:06:58.732314
1242,TS0000011176E,PROCUREMENT OF MISC SPARES AND GOODS,NORMAL TENDER Tender bulletin of Misc spares / goods of items...,Miscellaneous,CLP/IT/1179,Ministry of Defence,Karachi. - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",10:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011176E,Goods/Supplies,2026-08-25,2026-08-30T06:06:58.732314
1243,TS0000011185E,Procurement of Miscelleanous Items for different departments,Institute of Space Technology INVITATION TO BID...,Appliances,IST/Proc/26-27/02,Ministry of Defence,Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011185E,Goods/Supplies,2026-08-25,2026-08-30T06:06:58.732314
